Report Date:,11/22/2019 23:30:03
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630427_2019-09-27_10-02-48-983.wsl
Create Date,9/27/2019 17:02:41

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,11ft (630427)
Serial Number,630427
Firmware Version,2.01
Hardware Version,4
Device Address,3
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,10

Log Configuration
,Log Name,2019-06-23_630427
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:15:15 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:15:23 ,Used Battery: 10% Used Memory: 14%   User Name: Ian
9/27/2019 16:50:46 ,Used Battery: 16% Used Memory: 20%   User Name: Ian
9/27/2019 16:50:47 ,Manual Stop Command


Log Data:
Record Count,9188

Sensors,1

 ,1,630427,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/24/2019 00:00:00 ,                                  10.350,                               36265.785,                               50356.473,                                  32.566,                                   1.025,
6/24/2019 00:15:00 ,                                  10.280,                               36304.621,                               50503.504,                                  32.663,                                   1.025,
6/24/2019 00:30:00 ,                                  10.024,                               36046.164,                               50487.977,                                  32.620,                                   1.025,
6/24/2019 00:45:00 ,                                   9.975,                               36032.246,                               50534.797,                                  32.648,                                   1.025,
6/24/2019 01:00:00 ,                                  10.179,                               36163.793,                               50443.156,                                  32.607,                                   1.025,
6/24/2019 01:15:00 ,                                   9.975,                               36072.453,                               50590.805,                                  32.688,                                   1.025,
6/24/2019 01:30:00 ,                                   9.905,                               36030.527,                               50627.145,                                  32.705,                                   1.025,
6/24/2019 01:45:00 ,                                   9.907,                               36027.668,                               50620.105,                                  32.700,                                   1.025,
6/24/2019 02:00:00 ,                                   9.981,                               36059.289,                               50564.980,                                  32.670,                                   1.025,
6/24/2019 02:15:00 ,                                   9.798,                               35920.621,                               50618.527,                                  32.685,                                   1.025,
6/24/2019 02:30:00 ,                                   9.690,                               35855.945,                               50674.465,                                  32.711,                                   1.025,
6/24/2019 02:45:00 ,                                   9.794,                               35956.809,                               50674.434,                                  32.725,                                   1.025,
