Report Date:,6/22/2019 18:48,,,,
Report User Name:,Ian,,,,
Report Computer Name:,SLOCUM,,,,
Application:,WinSitu.exe,,,,
Application Version:,5.7.6.1,,,,
,,,,,
,,,,,
Log File Properties,,,,,
File Name,2019-01-11_630411_2019-06-22_18-47-25-779.wsl,,,,
Create Date,6/22/2019 18:47,,,,
,,,,,
Device Properties,,,,,
Device,Aqua TROLL 100,,,,
Site,Yaquina_Dock5,,,,
Device Name,3 ft (SN630411),,,,
Serial Number,630411,,,,
Firmware Version,2.01,,,,
Hardware Version,4,,,,
Device Address,1,,,,
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,0,,,,
Used Battery,0,,,,
,,,,,
Log Configuration,,,,,
,Log Name,2019-01-11_630411,,,
,Created By,Ian,,,
,Computer Name,SLOCUM,,,
,Application,WinSitu.exe,,,
,Application Version,5.7.5.6,,,
,Create Date,1/9/2019 17:41:44 UTC,,,
,Log Setup Time Zone,Unknown,,,
,Notes Size(bytes),4096,,,
,Overwrite when full,Disabled,,,
,Scheduled Start Time,1/11/2019 00:15:00 UTC,,,
,Scheduled Stop Time,No Stop Time,,,
,Type,Linear,,,
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Other Log Settings,,,,,
,,,,,
,Specific Conductivity Model:,Standard Methods,,,
,,Reference Temperature:,25,,
,,Temperature Coefficient:,0.0191,,
,,,,,
,,,,,
Log Notes:,,,,,
Date and Time (UTC),Note,,,,
1/9/2019 17:41,Used Battery: 0% Used Memory: 1%   User Name: Ian,,,,
6/22/2019 18:28,Log Download - Used Battery: 11% Used Memory: 12%   User Name: Ian,,,,
,,,,,
,,,,,
Log Data:,,,,,
Record Count,15625,,,,
,,,,,
Sensors,1,,,,
,,,,,
 ,1,630411,Conductivity,,
,,,,,
,,,,,
,,,,,
,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            
,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   
1/11/2019 00:15,16.615,0,0,0,0.999
1/11/2019 00:30,16.018,0,0,0,0.999
1/11/2019 00:45,15.457,0,0,0,0.999
1/11/2019 01:00,14.901,0,0,0,0.999
1/11/2019 01:15,14.337,0,0,0,0.999
1/11/2019 01:30,13.806,0,0,0,0.999
1/11/2019 01:45,13.321,0,0,0,0.999
1/11/2019 02:00,15.609,0,0,0,0.999
1/11/2019 02:15,18.302,0,0,0,0.999
1/11/2019 02:30,19.9,0,0,0,0.998
1/11/2019 02:45,20.679,0,0,0,0.998
1/11/2019 03:00,21.198,0,0,0,0.998
1/11/2019 03:15,21.66,0,0,0,0.998
1/11/2019 03:30,21.945,0,0,0,0.998
1/11/2019 03:45,22.069,0,0,0,0.998
1/11/2019 04:00,22.187,0,0,0,0.998
1/11/2019 04:15,22.39,0,0,0,0.998
1/11/2019 04:30,22.475,0,0,0,0.998
1/11/2019 04:45,22.48,0,0,0,0.998
1/11/2019 05:00,22.547,0,0,0,0.998
1/11/2019 05:15,22.571,0,0,0,0.998
1/11/2019 05:30,22.509,0,0,0,0.998
1/11/2019 05:45,22.423,0,0,0,0.998
1/11/2019 06:00,22.362,0,0,0,0.998
1/11/2019 06:15,22.327,0,0,0,0.998
1/11/2019 06:30,22.31,0,0,0,0.998
1/11/2019 06:45,22.317,0,0,0,0.998
1/11/2019 07:00,22.33,0,0,0,0.998
1/11/2019 07:15,22.296,0,0,0,0.998
1/11/2019 07:30,22.222,0,0,0,0.998
1/11/2019 07:45,22.141,0,0,0,0.998
1/11/2019 08:00,22.126,0,0,0,0.998
1/11/2019 08:15,22.144,0,0,0,0.998
1/11/2019 08:30,22.148,0,0,0,0.998
1/11/2019 08:45,22.12,0,0,0,0.998
1/11/2019 09:00,22.076,0,0,0,0.998
1/11/2019 09:15,22.028,0,0,0,0.998
1/11/2019 09:30,21.972,0,0,0,0.998
1/11/2019 09:45,21.913,0,0,0,0.998
1/11/2019 10:00,21.856,0,0,0,0.998
1/11/2019 10:15,21.806,0,0,0,0.998
1/11/2019 10:30,21.765,0,0,0,0.998
1/11/2019 10:45,21.73,0,0,0,0.998
1/11/2019 11:00,21.741,0,0,0,0.998
1/11/2019 11:15,21.78,0,0,0,0.998
1/11/2019 11:30,21.835,0,0,0,0.998
1/11/2019 11:45,21.9,0,0,0,0.998
1/11/2019 12:00,21.943,0,0,0,0.998
1/11/2019 12:15,21.943,0,0,0,0.998
1/11/2019 12:30,21.926,0,0,0,0.998
1/11/2019 12:45,21.896,0,0,0,0.998
1/11/2019 13:00,21.859,0,0,0,0.998
1/11/2019 13:15,21.822,0,0,0,0.998
1/11/2019 13:30,21.786,0,0,0,0.998
1/11/2019 13:45,21.753,0,0,0,0.998
1/11/2019 14:00,21.755,0,0,0,0.998
1/11/2019 14:15,21.79,0,0,0,0.998
1/11/2019 14:30,21.844,0,0,0,0.998
1/11/2019 14:45,21.909,0,0,0,0.998
1/11/2019 15:00,21.966,0,0,0,0.998
1/11/2019 15:15,21.983,0,0,0,0.998
1/11/2019 15:30,21.973,0,0,0,0.998
1/11/2019 15:45,21.949,0,0,0,0.998
1/11/2019 16:00,21.918,0,0,0,0.998
1/11/2019 16:15,21.886,0,0,0,0.998
1/11/2019 16:30,21.851,0,0,0,0.998
1/11/2019 16:45,21.813,0,0,0,0.998
1/11/2019 17:00,21.78,0,0,0,0.998
1/11/2019 17:15,21.844,0,0,0,0.998
1/11/2019 17:30,21.968,0,0,0,0.998
1/11/2019 17:45,22.098,0,0,0,0.998
1/11/2019 18:00,22.197,0,0,0,0.998
1/11/2019 18:15,22.301,0,0,0,0.998
1/11/2019 18:30,22.191,0,0,0,0.998
1/11/2019 18:45,21.597,0,0,0,0.998
1/11/2019 19:00,21.441,0,0,0,0.998
1/11/2019 19:15,21.405,0,0,0,0.998
