Report Date:,11/22/2019 23:29:53
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630411_2019-09-27_09-34-15-429.wsl
Create Date,9/27/2019 16:33:28

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,3 ft (SN630411)
Serial Number,630411
Firmware Version,2.01
Hardware Version,4
Device Address,1
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,11

Log Configuration
,Log Name,2019-06-23_630411
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:10:33 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:10:59 ,Used Battery: 11% Used Memory: 14%   User Name: Ian
9/27/2019 16:21:39 ,Used Battery: 17% Used Memory: 20%   User Name: Ian
9/27/2019 16:21:39 ,Manual Stop Command


Log Data:
Record Count,9186

Sensors,1

 ,1,630411,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/24/2019 00:00:00 ,                                  12.417,                               37868.414,                               49849.102,                                  32.428,                                   1.025,
6/24/2019 00:15:00 ,                                  12.504,                               37927.867,                               49817.926,                                  32.414,                                   1.024,
6/24/2019 00:30:00 ,                                  12.587,                               37989.379,                               49795.160,                                  32.406,                                   1.024,
6/24/2019 00:45:00 ,                                  12.472,                               37907.012,                               49831.238,                                  32.420,                                   1.024,
6/24/2019 01:00:00 ,                                  12.718,                               38031.805,                               49687.375,                                  32.340,                                   1.024,
6/24/2019 01:15:00 ,                                  12.370,                               37843.641,                               49874.738,                                  32.442,                                   1.025,
6/24/2019 01:30:00 ,                                  12.164,                               37726.199,                               49979.152,                                  32.497,                                   1.025,
6/24/2019 01:45:00 ,                                  12.583,                               37952.844,                               49752.309,                                  32.374,                                   1.024,
6/24/2019 02:00:00 ,                                  12.422,                               37829.469,                               49791.523,                                  32.387,                                   1.024,
6/24/2019 02:15:00 ,                                  12.119,                               37647.770,                               49933.039,                                  32.458,                                   1.025,
6/24/2019 02:30:00 ,                                  12.243,                               37718.098,                               49869.664,                                  32.425,                                   1.025,
6/24/2019 02:45:00 ,                                  11.638,                               37223.609,                               49979.063,                                  32.441,                                   1.025,
6/24/2019 03:00:00 ,                                  11.773,                               37453.664,                               50114.895,                                  32.554,                                   1.025,
6/24/2019 03:15:00 ,                                  11.788,                               37466.703,                               50112.520,                                  32.554,                                   1.025,
6/24/2019 03:30:00 ,                                  11.264,                               37083.402,                               50272.941,                                  32.612,                                   1.025,
6/24/2019 03:45:00 ,                                  11.181,                               37142.289,                               50460.805,                                  32.739,                                   1.025,
6/24/2019 04:00:00 ,                                  11.156,                               37124.492,                               50470.246,                                  32.743,                                   1.025,
6/24/2019 04:15:00 ,                                  10.720,                               36853.281,                               50674.461,                                  32.839,                                   1.025,
6/24/2019 04:30:00 ,                                  10.657,                               36800.758,                               50686.566,                                  32.841,                                   1.025,
6/24/2019 04:45:00 ,                                  10.748,                               36755.664,                               50503.988,                                  32.720,                                   1.025,
6/24/2019 05:00:00 ,                                  11.059,                               37061.180,                               50510.883,                                  32.761,                                   1.025,
6/24/2019 05:15:00 ,                                  11.416,                               37262.516,                               50318.066,                                  32.662,                                   1.025,
6/24/2019 05:30:00 ,                                  11.035,                               36990.023,                               50445.496,                                  32.711,                                   1.025,
6/24/2019 05:45:00 ,                                  11.276,                               37200.406,                               50415.422,                                  32.717,                                   1.025,
6/24/2019 06:00:00 ,                                  11.258,                               37193.012,                               50429.027,                                  32.724,                                   1.025,
6/24/2019 06:15:00 ,                                  11.368,                               36964.684,                               49976.984,                                  32.410,                                   1.025,
6/24/2019 06:30:00 ,                                  11.461,                               37363.746,                               50395.402,                                  32.723,                                   1.025,
6/24/2019 06:45:00 ,                                  11.126,                               37121.891,                               50506.105,                                  32.765,                                   1.025,
6/24/2019 07:00:00 ,                                  11.107,                               37111.586,                               50517.070,                                  32.771,                                   1.025,
6/24/2019 07:15:00 ,                                  11.684,                               37466.336,                               50245.430,                                  32.639,                                   1.025,
6/24/2019 07:30:00 ,                                  11.562,                               37295.211,                               50172.461,                                  32.573,                                   1.025,
6/24/2019 07:45:00 ,                                  11.651,                               37372.711,                               50162.602,                                  32.575,                                   1.025,
6/24/2019 08:00:00 ,                                  11.774,                               37363.207,                               49991.539,                                  32.465,                                   1.025,
6/24/2019 08:15:00 ,                                  11.798,                               37349.578,                               49943.148,                                  32.432,                                   1.025,
6/24/2019 08:30:00 ,                                  11.877,                               37296.387,                               49772.004,                                  32.317,                                   1.025,
6/24/2019 08:45:00 ,                                  11.906,                               37281.734,                               49714.984,                                  32.279,                                   1.024,
