Sensor n. 01  Type: Barometer[161]  s/n:18104414  Batt:100%
Sensor n. 02  Type: AquaTR100[10]  s/n:630411  Batt:88%
Sensor n. 03  Type: AquaTR100[10]  s/n:630415  Batt:88%
Sensor n. 04  Type: AquaTR100[10]  s/n:630427  Batt:89%
Record n,Date,Time,Sensor n,Pressure(mBar)[2:21],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129]
1,21/01/2019,11:00,01,1028.700,02,29311.808,9.982,41101.708,25.975,26.716,34.116,1.020,03,31928.066,10.343,44341.032,28.282,28.822,31.320,1.022,04,33034.046,10.523,45658.780,29.232,29.678,30.272,1.022
2,21/01/2019,12:00,01,1029.100,02,29856.058,10.178,41645.828,26.374,27.070,33.494,1.020,03,32492.066,10.434,45015.996,28.768,29.260,30.777,1.022,04,33372.046,10.574,46064.104,29.525,29.942,29.965,1.023
3,21/01/2019,13:00,01,1029.500,02,27927.448,10.073,39065.284,24.569,25.392,35.807,1.019,03,32394.286,10.460,44849.416,28.652,29.152,30.870,1.022,04,33572.656,10.605,46303.952,29.698,30.098,29.786,1.023
4,21/01/2019,14:00,01,1029.800,02,30648.858,10.413,42485.516,26.984,27.616,32.628,1.021,03,32817.126,10.541,45338.516,29.007,29.470,30.472,1.022,04,33514.452,10.675,46138.156,29.588,29.990,29.838,1.023
5,21/01/2019,15:00,01,1030.100,02,31128.072,10.493,43059.552,27.394,27.989,32.125,1.021,03,31793.216,10.530,43935.824,28.015,28.558,31.453,1.021,04,32499.238,10.619,44806.332,28.638,29.124,30.770,1.022
6,21/01/2019,16:00,01,1031.300,02,29977.762,10.405,41564.528,26.338,27.017,33.358,1.020,03,30487.060,10.444,42227.512,26.806,27.448,32.801,1.020,04,30994.350,10.517,42846.616,27.247,27.850,32.264,1.021
7,21/01/2019,17:00,01,1032.100,02,27308.222,10.166,38104.112,23.913,24.768,36.619,1.018,03,29201.952,10.332,40567.000,25.635,26.369,34.244,1.020,04,30495.088,10.474,42205.092,26.793,27.433,32.792,1.020
8,21/01/2019,18:00,01,1032.100,02,26196.192,10.036,36680.016,22.922,23.842,38.173,1.018,03,28899.058,10.304,40176.344,25.361,26.115,34.603,1.019,04,31569.662,10.555,43598.112,27.779,28.339,31.676,1.021
9,21/01/2019,19:00,01,1032.300,02,26454.910,10.072,37006.772,23.149,24.054,37.800,1.018,03,28090.888,10.235,39124.916,24.625,25.431,35.599,1.019,04,29434.282,10.403,40812.732,25.813,26.528,33.974,1.020
10,21/01/2019,20:00,01,1032.500,02,23364.796,9.765,32953.708,20.362,21.420,42.799,1.016,03,24318.706,9.836,34233.956,21.235,22.252,41.121,1.016,04,27113.652,10.149,37849.824,23.736,24.602,36.882,1.018
