"Location Properties"
"Location Name = 11ft (630427)"
"Location ID = 6147104710852608"
"Latitude = 44.63101004858643 °"
"Longitude = -124.04601168454957 °"
""
""
"Date Time","Resistivity (Ω-cm)","Temperature (C)","Density (g/cm³)","Total Dissolved Solids (mg/L)","Salinity (psu)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm)"
"2019-01-03 11:05:00.000","10534.506","21.551","0.998","66.0","0.048","94.926","101.62"
"2019-01-03 11:10:00.000","10529.942","21.561","0.998","66.0","0.048","94.967","101.644"
"2019-01-03 11:15:00.000","10524.175","21.582","0.998","66.0","0.048","95.019","101.656"
"2019-01-03 11:20:00.000","10518.159","21.603","0.998","66.0","0.048","95.074","101.671"
"2019-01-03 11:25:00.000","10521.475","21.62","0.998","66.0","0.048","95.044","101.603"
"2019-01-03 11:30:00.000","10512.424","21.638","0.998","66.0","0.048","95.126","101.653"
"2019-01-03 11:35:00.000","10503.961","21.652","0.998","66.0","0.048","95.202","101.707"
"2019-01-03 11:40:00.000","10500.127","21.664","0.998","66.0","0.048","95.237","101.719"
"2019-01-03 11:45:00.000","10493.254","21.677","0.998","66.0","0.048","95.299","101.758"
"2019-01-03 12:00:00.000","10484.642","21.712","0.998","66.0","0.048","95.378","101.768"
"2019-01-03 12:15:00.000","10474.739","21.779","0.998","66.0","0.048","95.468","101.727"
"2019-01-03 12:30:00.000","10451.77","21.72","0.998","66.0","0.048","95.678","102.072"
"2019-01-03 12:45:00.000","10446.095","21.636","0.998","66.0","0.048","95.73","102.303"
"2019-01-03 13:00:00.000","10456.791","21.577","0.998","67.0","0.048","95.632","102.322"
"2019-01-03 13:15:00.000","10477.247","21.53","0.998","66.0","0.048","95.445","102.219"
"2019-01-03 13:30:00.000","10487.181","21.491","0.998","66.0","0.048","95.355","102.205"
"2019-01-03 13:45:00.000","10499.681","21.471","0.998","66.0","0.048","95.241","102.124"
"2019-01-03 23:30:00.000","1410065.408","22.779","0.998","0.0","0.0","0.0","0.0"
"2019-01-04 04:30:00.000","85.225","21.404","1.003","8189.0","7.318","11733.706","12599.149"
"2019-01-04 05:00:00.000","84.37","21.834","1.003","8200.0","7.331","11852.611","12615.561"
"2019-01-04 05:30:00.000","84.328","21.859","1.003","8200.0","7.331","11858.494","12615.246"
"2019-01-04 06:00:00.000","84.29","21.876","1.003","8201.0","7.331","11863.817","12616.532"
"2019-01-04 06:30:00.000","84.292","21.885","1.003","8199.0","7.33","11863.537","12613.969"
"2019-01-04 07:00:00.000","84.305","21.86","1.003","8202.0","7.332","11861.625","12618.306"
"2019-01-04 07:30:00.000","84.303","21.845","1.003","8205.0","7.335","11861.915","12622.476"
"2019-01-04 08:00:00.000","84.39","21.785","1.003","8206.0","7.336","11849.795","12625.031"
"2019-01-04 08:30:00.000","84.428","21.764","1.003","8206.0","7.336","11844.385","12624.615"
"2019-01-04 09:00:00.000","84.49","21.733","1.003","8205.0","7.335","11835.732","12623.4"
"2019-01-04 09:30:00.000","84.495","21.719","1.003","8207.0","7.337","11835.062","12626.354"
"2019-01-04 09:40:00.000","84.478","21.723","1.003","8208.0","7.338","11837.43","12627.731"
"2019-01-04 09:50:00.000","84.475","21.737","1.003","8206.0","7.336","11837.8","12624.525"
"2019-01-04 10:00:00.000","84.446","21.762","1.003","8205.0","7.335","11841.937","12622.547"
"2019-01-04 10:10:00.000","84.392","21.785","1.003","8206.0","7.336","11849.426","12624.637"
"2019-01-04 10:20:00.000","84.328","21.809","1.003","8208.0","7.338","11858.427","12628.087"
"2019-01-04 10:30:00.000","84.304","21.834","1.003","8206.0","7.337","11861.871","12625.326"
"2019-01-04 11:10:00.000","84.152","21.925","1.003","8206.0","7.337","11883.295","12624.83"
